Unnamed: 0,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore
196,female,,associate's degree,free/reduced,,married,regularly,no,1.0,private,5 - 10,52,66,66
940,male,group C,associate's degree,free/reduced,completed,married,sometimes,yes,3.0,private,< 5,56,51,49
661,male,group B,associate's degree,standard,completed,married,sometimes,no,5.0,school_bus,< 5,89,85,95
494,female,group D,bachelor's degree,free/reduced,none,married,regularly,yes,3.0,private,5 - 10,67,69,71
816,female,,bachelor's degree,standard,none,married,sometimes,yes,,school_bus,< 5,78,89,81
108,female,group C,,standard,none,married,regularly,no,5.0,school_bus,5 - 10,57,63,58
840,male,group E,bachelor's degree,free/reduced,none,married,sometimes,yes,0.0,,> 10,57,62,58
574,female,group C,some high school,standard,none,single,regularly,no,3.0,school_bus,5 - 10,76,82,79
103,female,group B,some high school,standard,completed,married,regularly,no,,private,5 - 10,61,73,73
462,male,group C,,standard,,divorced,regularly,no,2.0,,5 - 10,58,56,52
710,female,group C,some high school,free/reduced,completed,married,regularly,yes,1.0,school_bus,5 - 10,74,77,80
716,male,group A,bachelor's degree,standard,none,married,never,yes,4.0,private,< 5,55,57,53
296,male,group D,bachelor's degree,free/reduced,none,single,never,no,3.0,school_bus,5 - 10,53,63,59
86,female,group C,some college,free/reduced,completed,married,sometimes,yes,2.0,private,5 - 10,76,88,84
656,male,group C,,free/reduced,none,married,regularly,no,5.0,school_bus,5 - 10,72,77,80
573,female,group D,some college,standard,none,single,sometimes,no,3.0,private,> 10,89,90,83
519,male,group A,high school,free/reduced,,married,sometimes,no,1.0,school_bus,5 - 10,58,68,61
440,female,group E,some college,free/reduced,completed,married,regularly,yes,2.0,school_bus,5 - 10,43,43,44
95,female,,some high school,standard,none,married,sometimes,yes,1.0,school_bus,> 10,57,73,68
989,male,group C,bachelor's degree,free/reduced,none,married,sometimes,yes,4.0,private,5 - 10,61,61,60
389,male,group E,high school,free/reduced,none,married,regularly,yes,2.0,private,< 5,76,66,69
552,female,group D,some high school,standard,none,single,,yes,4.0,school_bus,5 - 10,44,56,51
376,female,group C,associate's degree,standard,completed,divorced,regularly,yes,3.0,private,5 - 10,71,71,73
295,male,group B,,standard,none,married,never,yes,2.0,private,< 5,65,70,64
850,female,,high school,standard,completed,married,never,no,,private,5 - 10,80,81,85
730,male,group E,some high school,standard,none,single,sometimes,yes,1.0,school_bus,,96,90,83
975,female,group B,associate's degree,standard,completed,married,sometimes,yes,0.0,private,5 - 10,81,93,97
750,male,group B,some high school,free/reduced,none,married,regularly,yes,2.0,private,> 10,49,46,41
676,female,group B,some college,standard,completed,single,sometimes,no,1.0,,5 - 10,69,79,78
491,female,group B,bachelor's degree,standard,none,single,regularly,yes,5.0,school_bus,> 10,48,66,66
783,female,group C,some college,free/reduced,completed,married,regularly,no,1.0,private,5 - 10,47,73,74
648,female,group E,some high school,free/reduced,completed,single,regularly,yes,6.0,private,< 5,67,88,80
74,female,group D,associate's degree,standard,none,divorced,sometimes,yes,1.0,school_bus,> 10,77,84,89
230,male,group E,some college,standard,completed,single,regularly,yes,2.0,private,5 - 10,96,85,90
556,male,group E,master's degree,standard,none,married,regularly,yes,3.0,private,< 5,99,87,96
940,female,,some college,standard,none,married,sometimes,no,4.0,,> 10,82,82,83
351,male,group D,high school,standard,completed,married,sometimes,no,1.0,school_bus,5 - 10,53,45,55
543,female,group E,some college,free/reduced,completed,married,sometimes,,1.0,school_bus,< 5,78,79,84
98,male,group E,some college,standard,none,married,regularly,yes,2.0,school_bus,5 - 10,90,83,80
543,male,group B,some high school,standard,none,single,sometimes,no,3.0,school_bus,< 5,63,56,51
390,male,group B,some high school,standard,,married,regularly,no,1.0,school_bus,> 10,63,60,61
829,male,group C,bachelor's degree,free/reduced,,married,sometimes,no,,school_bus,5 - 10,94,91,91
829,female,group B,some college,free/reduced,completed,married,sometimes,no,3.0,,< 5,55,70,67
243,female,group B,some college,standard,none,divorced,regularly,yes,4.0,school_bus,5 - 10,84,84,83
934,male,group B,some high school,free/reduced,none,married,sometimes,yes,1.0,private,5 - 10,59,59,57
690,female,group A,some college,standard,none,married,never,yes,2.0,school_bus,5 - 10,49,59,54
194,female,group C,master's degree,standard,completed,,regularly,yes,1.0,school_bus,< 5,69,85,87
371,female,group D,associate's degree,standard,none,married,never,yes,2.0,school_bus,5 - 10,85,91,93
402,female,group B,high school,standard,completed,divorced,sometimes,no,7.0,private,5 - 10,74,82,77
740,male,group D,some high school,standard,none,married,regularly,yes,,school_bus,5 - 10,58,47,51
165,male,group C,some college,standard,none,married,sometimes,yes,1.0,,5 - 10,87,73,69
487,female,group D,some college,free/reduced,,single,sometimes,no,2.0,private,,79,92,96
817,male,group B,associate's degree,standard,none,married,sometimes,,1.0,school_bus,< 5,50,45,45
298,female,group C,master's degree,standard,none,divorced,regularly,yes,2.0,private,< 5,63,69,71
891,female,group B,high school,standard,none,divorced,never,yes,2.0,school_bus,< 5,39,65,57
495,male,group D,high school,standard,completed,divorced,sometimes,yes,4.0,private,5 - 10,68,64,66
593,male,group C,associate's degree,standard,none,married,sometimes,yes,2.0,private,,85,79,82
586,female,,high school,free/reduced,completed,divorced,sometimes,yes,0.0,private,5 - 10,66,79,74
282,male,group C,some high school,standard,completed,married,sometimes,yes,3.0,private,> 10,67,72,65
604,female,group D,some college,standard,none,divorced,never,yes,0.0,school_bus,5 - 10,51,60,60
83,male,group B,some high school,standard,none,married,sometimes,yes,3.0,school_bus,5 - 10,48,43,37
946,male,group C,high school,free/reduced,none,married,sometimes,yes,,private,> 10,60,62,48
95,male,group E,high school,standard,none,married,regularly,no,3.0,school_bus,< 5,87,74,73
501,female,group D,some high school,standard,none,married,sometimes,yes,1.0,private,5 - 10,48,52,47
450,male,group D,bachelor's degree,standard,completed,married,,yes,3.0,school_bus,5 - 10,90,90,87
788,female,group D,some high school,standard,none,married,never,yes,1.0,private,5 - 10,75,82,85
900,male,group E,some college,standard,completed,married,sometimes,yes,2.0,private,> 10,93,81,79
422,male,group D,bachelor's degree,standard,none,married,sometimes,no,,school_bus,> 10,75,72,66
835,female,group C,,standard,none,married,never,yes,2.0,private,> 10,53,59,56
102,male,,associate's degree,standard,,married,,yes,0.0,school_bus,5 - 10,65,54,52
862,female,group C,high school,free/reduced,none,single,regularly,yes,5.0,school_bus,5 - 10,58,75,72
807,female,group E,high school,standard,,single,never,yes,1.0,school_bus,5 - 10,49,56,49
174,female,group B,associate's degree,free/reduced,none,married,regularly,yes,1.0,school_bus,< 5,39,54,52
400,female,group E,bachelor's degree,free/reduced,none,married,sometimes,yes,,school_bus,5 - 10,65,67,62
259,female,group A,high school,standard,none,single,regularly,no,1.0,school_bus,> 10,70,78,78
290,female,group C,some college,standard,,married,sometimes,no,1.0,school_bus,< 5,52,65,62
516,female,group C,master's degree,free/reduced,completed,single,sometimes,no,1.0,private,5 - 10,61,90,92
418,male,,some college,free/reduced,completed,single,regularly,yes,0.0,school_bus,< 5,52,46,52
859,female,group C,some college,standard,none,married,regularly,yes,2.0,school_bus,5 - 10,61,80,78
356,male,group C,associate's degree,free/reduced,completed,single,never,no,3.0,private,5 - 10,62,63,61
995,male,group C,some high school,standard,none,married,sometimes,yes,3.0,school_bus,5 - 10,56,47,51
388,male,group C,some college,free/reduced,completed,married,regularly,no,1.0,school_bus,< 5,56,64,63
702,female,group B,associate's degree,free/reduced,none,married,regularly,yes,2.0,school_bus,5 - 10,45,53,55
957,male,,,standard,none,married,sometimes,yes,1.0,private,> 10,89,82,74
875,female,group C,bachelor's degree,standard,none,single,,yes,4.0,school_bus,> 10,77,83,84
995,female,group D,associate's degree,free/reduced,none,married,sometimes,yes,2.0,private,5 - 10,52,62,60
794,male,group D,some high school,free/reduced,completed,married,regularly,yes,0.0,school_bus,5 - 10,46,54,56
556,female,group C,bachelor's degree,standard,completed,married,sometimes,yes,0.0,school_bus,5 - 10,71,77,76
944,female,group C,some high school,standard,none,widowed,sometimes,no,3.0,school_bus,5 - 10,56,70,70
999,female,group C,bachelor's degree,standard,completed,,regularly,yes,1.0,private,5 - 10,85,93,93
179,female,group B,some college,standard,completed,married,regularly,yes,5.0,school_bus,< 5,85,98,100
291,female,group D,master's degree,standard,none,married,never,no,1.0,private,5 - 10,70,93,88
666,male,group B,associate's degree,free/reduced,none,married,regularly,yes,,school_bus,< 5,21,22,21
406,female,group A,associate's degree,standard,none,married,regularly,yes,,private,5 - 10,69,68,74
73,female,group E,,standard,none,married,regularly,no,2.0,private,5 - 10,75,73,75
529,female,group D,some college,free/reduced,none,divorced,sometimes,yes,5.0,school_bus,< 5,40,59,56
497,male,group C,master's degree,standard,none,married,never,,,private,5 - 10,83,78,75
477,female,group E,some college,standard,none,married,regularly,,2.0,school_bus,5 - 10,51,47,48
749,female,group C,high school,standard,none,married,sometimes,no,2.0,private,> 10,71,77,68
350,male,group D,high school,standard,none,married,regularly,yes,1.0,school_bus,< 5,78,70,71
378,male,group A,master's degree,standard,none,married,regularly,no,5.0,private,> 10,63,50,53
971,female,group D,some high school,standard,completed,married,,no,4.0,private,> 10,54,72,72
677,female,group C,associate's degree,free/reduced,none,,sometimes,no,3.0,school_bus,5 - 10,38,58,51
807,male,group A,some high school,free/reduced,none,married,regularly,no,1.0,school_bus,5 - 10,53,53,48
368,female,group B,high school,free/reduced,none,divorced,sometimes,yes,1.0,private,5 - 10,23,31,29
101,male,group C,high school,standard,completed,married,sometimes,no,2.0,school_bus,5 - 10,74,73,64
612,male,group C,some college,standard,none,single,never,no,1.0,private,> 10,67,61,62
741,female,group C,high school,free/reduced,none,single,regularly,no,2.0,school_bus,< 5,67,83,80
670,female,group C,high school,free/reduced,none,married,never,no,2.0,school_bus,< 5,62,73,64
521,male,group A,bachelor's degree,standard,completed,single,regularly,no,2.0,school_bus,< 5,47,47,51
607,male,group E,some college,standard,completed,single,sometimes,yes,3.0,,> 10,90,91,88
477,female,group C,some college,free/reduced,none,married,sometimes,no,3.0,private,5 - 10,54,64,62
959,male,group B,,standard,none,married,sometimes,yes,1.0,private,5 - 10,84,75,75
47,male,group D,high school,standard,none,married,sometimes,yes,,school_bus,< 5,67,58,54
166,male,group B,bachelor's degree,standard,none,married,regularly,no,2.0,school_bus,5 - 10,66,59,55
809,female,group B,some high school,standard,none,married,sometimes,no,3.0,private,,87,84,84
519,female,group D,,standard,none,single,regularly,no,1.0,school_bus,< 5,79,78,80
446,female,group B,some high school,free/reduced,completed,single,sometimes,no,2.0,school_bus,,35,52,54
177,female,group D,high school,standard,none,married,never,no,3.0,private,> 10,61,73,69
362,male,group C,high school,standard,none,married,sometimes,yes,1.0,,5 - 10,54,50,46
213,male,group E,associate's degree,standard,completed,married,,yes,1.0,school_bus,< 5,87,78,84
120,male,group B,some college,standard,none,married,sometimes,yes,2.0,school_bus,> 10,87,73,68
532,male,group E,associate's degree,free/reduced,completed,married,sometimes,yes,1.0,school_bus,< 5,82,76,74
85,male,group D,bachelor's degree,standard,none,divorced,sometimes,yes,2.0,private,< 5,79,76,70
685,female,group C,some high school,free/reduced,none,divorced,sometimes,yes,2.0,school_bus,< 5,47,58,50
604,female,,associate's degree,standard,completed,married,regularly,no,,private,< 5,76,82,89
990,male,group B,high school,standard,none,divorced,sometimes,yes,0.0,private,5 - 10,60,49,50
249,male,group E,high school,free/reduced,none,divorced,sometimes,yes,2.0,school_bus,> 10,71,63,55
731,male,,master's degree,free/reduced,none,married,sometimes,no,1.0,,,72,72,65
101,female,group B,some college,free/reduced,none,married,sometimes,no,1.0,school_bus,< 5,68,86,81
66,male,group C,some college,standard,none,married,sometimes,yes,2.0,school_bus,> 10,60,60,56
453,male,group D,some college,standard,completed,single,never,yes,3.0,school_bus,> 10,78,65,74
384,male,group B,some high school,free/reduced,completed,married,sometimes,yes,,,5 - 10,63,66,64
283,male,group B,bachelor's degree,free/reduced,none,married,sometimes,no,2.0,private,5 - 10,70,74,70
855,male,group E,bachelor's degree,standard,completed,married,regularly,yes,0.0,private,5 - 10,100,100,96
202,female,,some college,standard,none,single,sometimes,yes,2.0,school_bus,5 - 10,73,93,82
443,male,group C,some high school,free/reduced,none,married,sometimes,yes,5.0,private,5 - 10,53,57,46
299,male,group C,associate's degree,standard,none,single,regularly,yes,3.0,school_bus,> 10,73,67,61
48,male,group A,some college,standard,none,married,never,yes,5.0,private,> 10,69,72,66
255,male,group E,some college,standard,none,married,regularly,,4.0,school_bus,< 5,85,81,74
108,male,group C,some college,free/reduced,none,married,,no,1.0,private,> 10,74,74,72
976,male,group D,some college,free/reduced,completed,,sometimes,yes,2.0,private,< 5,67,78,73
85,female,group C,some high school,standard,none,married,regularly,no,4.0,school_bus,< 5,76,79,82
30,female,group D,some college,standard,none,single,sometimes,yes,0.0,private,< 5,66,72,72
887,female,group C,some college,standard,none,single,regularly,no,5.0,school_bus,< 5,66,91,85
96,male,group D,,standard,none,married,sometimes,yes,3.0,school_bus,5 - 10,58,54,47
513,male,group C,some high school,standard,none,,regularly,yes,3.0,school_bus,5 - 10,57,46,43
143,male,group D,bachelor's degree,standard,none,married,regularly,yes,2.0,private,< 5,48,49,48
636,male,group C,some college,standard,none,married,regularly,yes,0.0,school_bus,> 10,80,71,70
553,female,group B,high school,standard,,single,sometimes,no,1.0,private,> 10,39,47,37
312,male,group C,bachelor's degree,standard,none,married,sometimes,yes,1.0,school_bus,> 10,94,96,88
126,female,group C,some college,free/reduced,none,married,regularly,yes,1.0,school_bus,> 10,64,72,71
364,male,group D,some high school,standard,none,single,sometimes,no,3.0,school_bus,5 - 10,62,57,52
559,female,group C,high school,standard,completed,married,sometimes,yes,0.0,school_bus,5 - 10,76,93,92
991,male,group B,high school,free/reduced,completed,married,regularly,yes,1.0,school_bus,5 - 10,58,55,48
876,female,group C,some college,free/reduced,none,married,regularly,yes,3.0,private,> 10,57,62,69
345,male,group D,master's degree,standard,completed,single,regularly,yes,1.0,private,> 10,77,63,65
417,female,group B,high school,free/reduced,none,married,sometimes,no,2.0,private,> 10,49,62,56
588,female,group C,some high school,free/reduced,none,married,regularly,no,,private,5 - 10,41,39,45
77,male,group D,high school,standard,,married,sometimes,no,3.0,school_bus,> 10,83,85,79
790,female,group C,some college,standard,completed,married,regularly,yes,1.0,school_bus,< 5,64,78,76
863,male,group C,some high school,free/reduced,none,,sometimes,yes,3.0,school_bus,< 5,23,24,16
773,female,group B,master's degree,standard,,divorced,sometimes,no,1.0,school_bus,5 - 10,94,100,100
969,male,group B,high school,free/reduced,none,widowed,sometimes,no,2.0,school_bus,< 5,44,39,40
952,female,group D,associate's degree,standard,completed,married,sometimes,yes,4.0,school_bus,5 - 10,86,99,100
702,female,group E,associate's degree,standard,completed,divorced,regularly,no,2.0,school_bus,5 - 10,88,84,93
12,female,group C,high school,standard,none,married,sometimes,yes,2.0,private,5 - 10,81,81,88
37,male,group C,associate's degree,standard,none,divorced,sometimes,no,3.0,school_bus,< 5,77,69,71
132,male,group E,some high school,standard,none,married,regularly,yes,4.0,private,< 5,85,67,62
224,male,group D,,free/reduced,none,single,never,no,,school_bus,5 - 10,60,73,67
718,male,group B,high school,free/reduced,none,divorced,never,yes,3.0,private,5 - 10,47,49,42
586,male,group C,associate's degree,standard,completed,married,regularly,yes,1.0,,< 5,43,44,46
27,female,group B,some college,free/reduced,none,married,regularly,yes,2.0,private,5 - 10,58,70,64
421,female,group D,high school,free/reduced,completed,divorced,sometimes,yes,0.0,,5 - 10,62,75,76
903,female,group B,bachelor's degree,free/reduced,none,single,sometimes,no,2.0,private,< 5,40,53,50
850,female,group A,high school,free/reduced,none,divorced,never,yes,3.0,school_bus,5 - 10,42,54,50
822,female,group C,some college,standard,none,married,never,no,3.0,school_bus,> 10,61,71,68
489,male,group E,master's degree,standard,none,single,sometimes,no,2.0,school_bus,< 5,79,79,75
610,male,group A,associate's degree,free/reduced,completed,divorced,regularly,yes,,private,< 5,50,58,54
97,male,group D,bachelor's degree,standard,none,married,regularly,yes,1.0,school_bus,< 5,80,86,85
60,male,group E,some high school,standard,completed,married,regularly,yes,3.0,private,> 10,90,69,77
117,male,group B,master's degree,standard,none,married,sometimes,no,2.0,private,> 10,96,85,79
917,female,group D,some college,standard,completed,married,regularly,yes,0.0,private,< 5,59,66,79
11,male,group D,high school,standard,none,single,sometimes,no,1.0,school_bus,5 - 10,80,76,70
572,female,group E,some college,free/reduced,none,divorced,regularly,yes,1.0,private,> 10,93,95,96
515,female,group D,some college,standard,none,married,regularly,yes,1.0,school_bus,5 - 10,56,65,68
295,male,group C,associate's degree,free/reduced,none,,never,yes,0.0,school_bus,< 5,71,58,62
630,male,group B,some college,standard,none,divorced,sometimes,no,3.0,private,5 - 10,59,67,62
868,male,,high school,standard,none,single,regularly,yes,3.0,school_bus,< 5,79,87,88
433,male,group E,associate's degree,standard,completed,married,sometimes,,1.0,private,5 - 10,92,80,81
81,male,group B,associate's degree,standard,none,married,regularly,no,3.0,school_bus,5 - 10,83,81,84
148,female,group C,associate's degree,free/reduced,none,married,never,yes,1.0,school_bus,> 10,31,46,42
384,male,group A,some college,standard,none,divorced,sometimes,,2.0,private,< 5,55,59,53
830,male,group D,some college,standard,,,sometimes,yes,2.0,school_bus,5 - 10,91,71,75
551,female,group C,some college,standard,completed,married,sometimes,yes,2.0,school_bus,> 10,76,91,92
564,female,group D,some college,standard,completed,married,never,no,1.0,school_bus,5 - 10,65,71,72
462,female,group D,some college,standard,,married,sometimes,yes,2.0,private,5 - 10,49,54,48
315,male,group B,some college,standard,completed,married,sometimes,,3.0,private,5 - 10,70,73,70
476,male,,some high school,standard,completed,,sometimes,yes,1.0,private,> 10,82,62,68
330,male,group C,associate's degree,standard,none,married,sometimes,yes,1.0,private,5 - 10,82,70,70
578,female,group B,some high school,standard,none,married,regularly,yes,3.0,school_bus,5 - 10,45,48,51
676,male,group A,some high school,standard,none,married,sometimes,no,3.0,school_bus,> 10,66,64,62
42,male,group B,some high school,standard,none,married,regularly,yes,3.0,private,5 - 10,69,74,65
38,female,group C,master's degree,standard,completed,widowed,sometimes,yes,2.0,private,5 - 10,65,80,84
675,female,,some high school,free/reduced,completed,single,sometimes,no,3.0,private,5 - 10,47,65,68
123,male,,high school,standard,none,married,sometimes,no,1.0,private,5 - 10,64,66,62
341,male,group E,some high school,standard,none,divorced,sometimes,yes,1.0,school_bus,> 10,84,77,65
925,female,,some high school,standard,none,married,regularly,yes,0.0,school_bus,5 - 10,33,41,42
598,male,group C,some college,standard,,married,regularly,no,,school_bus,> 10,71,64,58
399,male,group B,,free/reduced,none,single,sometimes,yes,1.0,private,< 5,49,50,48
397,male,group C,some college,standard,,married,,yes,2.0,private,5 - 10,83,84,83
585,female,group B,some high school,standard,none,married,sometimes,yes,4.0,school_bus,> 10,62,73,72
474,male,group E,some college,standard,none,single,regularly,no,1.0,private,< 5,87,80,76
281,female,group B,some college,free/reduced,none,,never,yes,6.0,school_bus,< 5,51,57,60
464,female,group D,associate's degree,free/reduced,none,married,regularly,no,,school_bus,< 5,50,66,61
955,female,,high school,free/reduced,completed,divorced,sometimes,yes,3.0,school_bus,5 - 10,50,65,65
123,female,group D,high school,standard,none,married,never,yes,3.0,school_bus,5 - 10,50,63,61
776,male,group D,some college,standard,completed,divorced,never,yes,0.0,private,< 5,80,84,78
626,male,group D,bachelor's degree,free/reduced,completed,single,regularly,no,1.0,,5 - 10,76,75,77
325,female,group E,some college,standard,none,single,regularly,yes,3.0,school_bus,5 - 10,80,79,70
981,male,group C,some college,standard,none,married,sometimes,yes,2.0,,5 - 10,67,56,56
943,male,group D,high school,free/reduced,completed,married,regularly,yes,3.0,school_bus,5 - 10,84,94,90
796,female,group B,some high school,free/reduced,none,married,regularly,yes,0.0,,5 - 10,33,32,36
732,female,group C,some high school,standard,,married,sometimes,yes,0.0,,> 10,71,70,78
727,female,group D,some college,standard,none,married,regularly,yes,3.0,,5 - 10,62,62,68
639,male,group A,,standard,none,married,regularly,no,2.0,private,< 5,74,70,68
692,male,group C,some college,standard,none,single,regularly,yes,1.0,private,5 - 10,86,82,74
55,male,group C,,standard,none,married,sometimes,no,3.0,school_bus,< 5,78,73,72
507,female,group B,bachelor's degree,standard,none,married,never,no,3.0,school_bus,5 - 10,74,74,78
832,female,group B,associate's degree,standard,completed,divorced,never,no,1.0,school_bus,5 - 10,57,61,64
312,female,group D,some high school,free/reduced,none,single,regularly,no,1.0,school_bus,< 5,51,71,66
426,male,group B,some college,free/reduced,completed,married,regularly,yes,4.0,private,> 10,86,78,87
199,male,group C,some high school,standard,completed,divorced,sometimes,no,2.0,private,5 - 10,56,61,56
701,male,group D,high school,free/reduced,none,married,sometimes,no,1.0,private,5 - 10,51,40,41
814,female,group B,some high school,standard,completed,single,regularly,,0.0,school_bus,5 - 10,63,66,71
556,male,group D,some college,standard,none,married,regularly,no,2.0,school_bus,5 - 10,81,74,74
651,female,group B,bachelor's degree,standard,none,married,sometimes,no,3.0,,< 5,65,63,68
442,female,group B,,free/reduced,none,single,never,no,3.0,private,5 - 10,47,58,62
649,male,group B,associate's degree,standard,none,single,sometimes,no,5.0,school_bus,> 10,77,76,73
185,female,group C,some college,standard,completed,single,regularly,yes,0.0,private,5 - 10,67,78,73
520,female,group B,some college,free/reduced,none,single,sometimes,no,1.0,school_bus,< 5,28,39,33
89,male,group D,,free/reduced,completed,married,sometimes,no,,school_bus,> 10,82,80,81
644,female,group A,bachelor's degree,free/reduced,,married,never,no,1.0,private,5 - 10,57,72,72
327,female,group E,associate's degree,standard,completed,divorced,regularly,no,3.0,school_bus,5 - 10,88,96,100
256,male,group C,some high school,standard,none,married,sometimes,yes,1.0,private,5 - 10,70,55,57
158,male,group D,,free/reduced,none,married,never,no,2.0,,5 - 10,52,50,50
97,female,group B,some college,standard,none,married,sometimes,no,1.0,private,< 5,48,53,48
42,male,group C,associate's degree,standard,completed,,sometimes,no,3.0,school_bus,5 - 10,72,65,62
613,male,group B,associate's degree,standard,none,married,sometimes,yes,0.0,school_bus,> 10,64,69,61
400,male,group D,high school,free/reduced,completed,married,sometimes,no,2.0,school_bus,< 5,50,56,61
843,female,group E,high school,standard,completed,divorced,sometimes,no,1.0,private,> 10,91,93,97
699,male,group E,high school,standard,none,married,regularly,no,3.0,school_bus,> 10,84,83,82
38,female,,bachelor's degree,free/reduced,completed,single,sometimes,yes,1.0,school_bus,< 5,39,52,60
396,male,group A,,standard,none,married,regularly,yes,0.0,school_bus,5 - 10,58,48,55
556,male,group E,,standard,none,married,sometimes,no,2.0,school_bus,5 - 10,78,72,68
124,male,group C,some high school,free/reduced,none,married,sometimes,yes,3.0,private,< 5,56,58,47
135,female,group B,some college,free/reduced,none,single,regularly,no,2.0,,5 - 10,59,81,71
188,female,group A,some high school,standard,none,married,sometimes,yes,2.0,school_bus,5 - 10,29,49,43
459,male,group C,some college,standard,none,married,never,no,1.0,school_bus,5 - 10,67,57,48
218,male,group E,some high school,free/reduced,none,married,regularly,no,4.0,,5 - 10,52,45,45
488,male,group D,high school,standard,none,divorced,regularly,yes,2.0,school_bus,5 - 10,58,43,44
164,male,group C,associate's degree,free/reduced,none,married,sometimes,yes,0.0,school_bus,> 10,64,64,60
245,male,group C,some high school,free/reduced,completed,married,sometimes,yes,2.0,private,5 - 10,64,57,57
92,male,group D,associate's degree,free/reduced,none,married,sometimes,yes,4.0,school_bus,5 - 10,48,51,48
866,female,group D,some high school,free/reduced,none,single,regularly,yes,1.0,school_bus,< 5,38,53,56
596,male,group D,high school,standard,none,single,never,no,1.0,school_bus,> 10,66,55,57
570,female,group C,some high school,standard,none,married,regularly,yes,3.0,private,5 - 10,60,71,62
965,male,group D,high school,free/reduced,none,married,sometimes,no,1.0,private,5 - 10,66,58,58
230,male,group A,associate's degree,free/reduced,none,married,regularly,yes,3.0,private,5 - 10,62,56,55
435,male,group D,some college,free/reduced,completed,married,regularly,yes,1.0,,< 5,59,62,70
150,male,group A,some high school,standard,completed,married,sometimes,no,2.0,private,5 - 10,62,67,69
517,male,group C,associate's degree,free/reduced,completed,single,regularly,no,1.0,private,< 5,85,86,85
179,male,group E,master's degree,free/reduced,none,,regularly,yes,7.0,school_bus,> 10,65,57,53
196,male,group B,some high school,standard,none,single,regularly,yes,,school_bus,5 - 10,69,66,59
884,female,,associate's degree,free/reduced,none,married,sometimes,no,1.0,school_bus,5 - 10,58,64,66
703,female,group C,some high school,standard,completed,single,sometimes,no,3.0,school_bus,< 5,61,70,67
556,female,group D,associate's degree,free/reduced,none,married,sometimes,yes,3.0,private,< 5,77,86,84
378,female,group C,high school,standard,completed,divorced,never,no,,school_bus,> 10,78,92,90
876,male,group C,master's degree,standard,completed,married,never,yes,1.0,school_bus,< 5,45,52,50
